customer_id,age_range,marital_status,rented,family_size,no_of_children,income_bracket
1,70+,Married,0,2,,4
6,46-55,Married,0,2,,5
7,26-35,,0,3,1,3
8,26-35,,0,4,2,6
10,46-55,Single,0,1,,5
11,70+,Single,0,2,,1
12,46-55,Married,0,2,,7
13,36-45,Single,0,1,,2
14,26-35,Married,1,2,,6
15,46-55,Married,0,2,,6
17,36-45,,0,1,,5
19,46-55,,0,1,,3
22,36-45,Single,0,2,,4
27,36-45,Married,0,2,,8
28,46-55,,0,2,,1
30,70+,,0,1,,5
31,36-45,Single,0,5+,3+,2
33,46-55,Married,0,5+,3+,9
35,18-25,,0,2,,4
36,36-45,Married,0,2,,4
38,46-55,Single,0,2,,5
39,70+,Married,0,2,,4
40,56-70,Married,0,4,2,7
41,46-55,Single,0,2,,4
42,26-35,Married,0,4,2,9
45,46-55,Married,0,5+,3+,1
48,36-45,Married,0,2,,3
51,70+,Married,0,2,,2
52,36-45,Married,0,5+,3+,7
53,56-70,,0,1,,3
55,46-55,,0,2,,5
58,26-35,,0,1,,4
59,70+,Single,0,1,,4
66,46-55,,0,1,,6
67,36-45,,0,2,1,4
69,46-55,Married,0,4,2,1
71,36-45,Married,0,5+,3+,4
72,26-35,Single,0,3,2,1
74,26-35,Married,0,2,,2
75,26-35,,0,1,,4
78,36-45,Married,0,4,2,8
79,26-35,,0,2,,4
82,70+,Single,0,2,,4
83,46-55,Single,0,1,,4
84,46-55,,0,1,,8
85,46-55,,0,3,1,3
87,46-55,Single,0,2,,4
89,46-55,,0,1,,3
90,46-55,,0,2,,5
92,46-55,Married,0,2,,1
93,56-70,Married,0,2,,3
94,46-55,,0,1,,5
97,36-45,Single,0,1,,6
103,46-55,,0,2,,4
105,36-45,Single,0,3,1,5
107,18-25,,0,2,,2
108,46-55,,0,1,,5
110,18-25,Married,0,3,1,6
112,46-55,,0,2,,4
113,56-70,Married,0,2,,4
114,26-35,Married,0,3,1,5
119,46-55,,0,1,,3
123,46-55,Married,0,2,,4
124,46-55,Married,0,2,,6
128,36-45,Married,0,3,1,1
131,46-55,,0,2,,5
132,46-55,,0,3,1,3
134,70+,Married,0,2,,4
135,36-45,,0,1,,1
136,56-70,Single,0,2,,1
138,36-45,,0,1,,5
140,46-55,Married,0,2,,2
141,56-70,Married,0,2,,9
142,46-55,Married,0,2,,4
143,70+,,0,1,,2
144,36-45,Married,0,2,,4
149,26-35,,0,1,,3
150,36-45,,0,2,,4
151,36-45,Married,0,5+,3+,12
153,46-55,,1,1,,5
154,46-55,Married,0,5+,3+,6
155,70+,,0,2,,5
158,36-45,Married,0,4,2,8
159,36-45,Married,1,3,1,1
161,46-55,,0,1,,1
162,26-35,,0,2,,5
163,26-35,,0,3,2,3
167,46-55,,0,2,,4
168,46-55,,0,2,,6
174,36-45,,0,1,,4
178,36-45,Single,0,1,,5
179,46-55,,0,1,,4
180,26-35,Married,0,2,,5
185,46-55,Single,0,1,,7
186,26-35,,0,2,,4
189,26-35,Married,0,4,2,5
191,56-70,Married,0,2,,1
192,36-45,Married,0,4,2,4
193,46-55,,0,3,1,4
195,26-35,,0,2,,5
197,18-25,,0,4,2,4
201,46-55,,0,3,1,6
202,46-55,Married,0,2,,6
204,46-55,,0,4,3+,4
205,46-55,Married,0,2,,7
207,46-55,,0,1,,5
209,26-35,,0,1,,6
212,36-45,Married,0,5+,3+,8
214,46-55,Married,0,2,,1
223,70+,Married,0,2,,5
225,46-55,Married,0,4,2,5
226,46-55,,0,1,,5
227,46-55,Married,0,2,,9
228,26-35,Married,0,5+,3+,4
230,36-45,,0,2,,5
231,46-55,,0,1,,5
232,70+,,0,1,,5
235,56-70,Married,0,2,,5
238,70+,,0,2,,5
239,36-45,Married,0,3,1,6
242,46-55,Married,0,2,,5
243,56-70,Married,0,2,,5
245,26-35,Single,0,2,1,4
246,46-55,,0,1,,5
248,36-45,Single,0,1,,3
249,26-35,Single,0,1,,5
250,36-45,,0,1,,9
251,46-55,Single,1,1,,3
252,70+,Single,0,1,,3
253,36-45,Married,0,3,1,12
259,36-45,Married,0,3,1,9
262,26-35,Married,0,2,,3
265,18-25,Single,0,2,,3
266,56-70,Married,0,5+,3+,4
267,36-45,,0,2,,1
268,70+,Married,0,2,,2
269,46-55,,0,1,,7
271,36-45,,0,3,1,4
276,46-55,,0,2,,5
277,18-25,,0,2,,5
279,18-25,,0,1,,3
281,36-45,Married,0,3,1,2
283,26-35,Married,0,5+,3+,5
284,36-45,Married,0,2,,5
286,46-55,Single,0,1,,5
287,26-35,,0,2,1,2
288,46-55,Married,0,2,,3
292,26-35,Single,1,2,,1
293,56-70,,0,1,,4
294,18-25,Single,0,2,,5
295,56-70,Married,0,2,,4
297,70+,Single,0,1,,3
298,70+,,0,1,,7
300,70+,Married,0,2,,5
303,46-55,,0,1,,6
306,46-55,,0,1,,5
313,46-55,,0,1,,4
314,26-35,,0,2,,2
315,36-45,,0,1,,3
316,56-70,,0,1,,9
317,36-45,Married,0,5+,3+,6
318,46-55,Married,0,2,,6
319,46-55,,0,2,,5
320,56-70,,0,1,,5
327,36-45,Married,0,3,1,12
329,46-55,,0,2,,6
333,46-55,Married,0,2,,6
336,70+,Single,0,1,,4
338,46-55,,0,1,,5
339,46-55,,0,1,,5
343,46-55,,0,1,,4
347,26-35,Single,0,1,,5
348,26-35,,0,1,,4
349,36-45,Married,0,3,1,4
352,46-55,,0,2,,5
353,36-45,Single,0,2,,6
355,46-55,,0,2,,6
357,18-25,,0,2,,4
361,18-25,,0,1,,3
363,36-45,Married,0,3,1,12
367,36-45,Married,0,3,1,6
368,36-45,,0,1,,5
369,56-70,Married,0,2,,4
371,26-35,,0,1,,5
374,46-55,Married,0,3,1,8
375,36-45,Single,0,1,,2
377,18-25,Married,1,3,1,4
378,36-45,Married,0,5+,3+,5
381,26-35,,0,3,1,4
382,46-55,Married,0,3,1,2
383,18-25,,0,2,1,1
384,36-45,Single,0,1,,3
386,36-45,Married,0,4,2,7
389,26-35,Married,0,4,2,6
390,46-55,,0,1,,4
391,46-55,,0,1,,8
392,26-35,Single,1,5+,3+,3
393,46-55,,0,1,,5
395,36-45,Married,0,4,2,2
397,46-55,,0,1,,4
398,36-45,,0,1,,2
399,46-55,Married,0,3,1,4
400,46-55,,0,1,,5
401,36-45,Married,0,3,1,4
402,70+,Married,0,3,1,7
414,70+,Married,0,2,,6
416,36-45,Married,1,4,2,5
421,56-70,Married,0,2,,5
422,46-55,,0,1,,5
427,56-70,Married,0,3,1,4
428,36-45,,0,1,,4
429,36-45,,0,2,,3
431,36-45,,0,2,,5
434,46-55,,0,1,,5
436,70+,Married,0,2,,8
438,36-45,Married,0,2,,1
440,36-45,Married,0,3,1,8
441,70+,Single,0,1,,2
443,70+,,0,1,,4
444,46-55,,0,2,,2
446,36-45,Single,0,3,2,4
447,36-45,,0,2,,5
450,46-55,Married,0,2,,5
455,46-55,Single,0,2,,5
456,26-35,Married,0,5+,3+,7
457,36-45,Married,0,4,2,7
460,70+,Married,0,2,,5
461,56-70,,0,3,1,2
462,56-70,Married,0,2,,2
463,46-55,Married,0,5+,3+,6
464,46-55,Married,0,5+,3+,3
466,36-45,Married,0,2,,5
467,46-55,,0,1,,3
473,46-55,,0,2,,4
474,56-70,Married,0,4,2,6
475,46-55,Married,0,2,,6
479,46-55,Married,0,2,,10
480,70+,,0,3,1,5
481,36-45,Married,1,4,2,2
486,46-55,Single,0,3,1,1
488,36-45,Married,1,2,,6
490,36-45,,0,1,,5
494,26-35,Married,0,5+,3+,8
495,36-45,Married,1,2,,8
497,36-45,Married,0,5+,3+,5
498,46-55,Married,0,2,,9
499,36-45,Married,1,2,,5
501,46-55,,0,1,,5
504,70+,,0,3,1,8
506,46-55,Married,0,2,,7
507,70+,Married,0,2,,6
508,18-25,,0,2,,6
509,26-35,Single,0,1,,3
510,26-35,,0,2,1,1
511,46-55,,0,1,,5
514,26-35,,0,2,,6
515,26-35,Married,0,2,,4
516,70+,,0,2,,4
517,26-35,,0,2,,6
520,36-45,Married,0,2,,6
522,46-55,,0,3,1,6
524,26-35,,0,1,,5
525,36-45,Married,0,3,1,9
527,36-45,Married,0,3,1,5
528,46-55,Married,0,2,,10
530,46-55,Single,0,3,2,5
533,36-45,Married,0,5+,3+,6
536,46-55,Married,0,2,,11
537,18-25,Single,0,1,,5
540,26-35,,0,4,2,4
541,26-35,Single,0,1,,10
544,56-70,Single,0,1,,4
545,70+,Married,0,3,1,4
546,26-35,,0,1,,5
549,46-55,,0,1,,2
550,36-45,,0,1,,2
551,46-55,,0,1,,6
552,70+,Married,0,2,,4
553,36-45,Married,0,3,1,11
557,26-35,,0,3,2,4
558,36-45,Single,0,2,,5
560,46-55,,0,2,,5
561,36-45,Married,0,2,,4
564,36-45,Married,0,2,,7
565,26-35,,0,3,1,9
566,26-35,Married,0,4,2,5
569,46-55,,0,1,,9
571,56-70,Married,0,2,,8
572,36-45,Married,0,2,,4
574,36-45,,0,1,,4
575,56-70,Married,0,2,,1
